Data;Abramide;Acciuga;Aguglia;Alaccia;Anguilla;Aquila di mare;Aragosta;Arca di Noe';Ascidia;Astice;Barbo;Barracuda;Bibo;Boga;Branzino;Calamari;Canestrelli;Cannolicchi;Capasanta;Carpa;Cavedano;Cefali;Cepola;Cernia bruna;Cetorino;Cheppia;Corbola;Cuori;Delfini;Dentice;Fasolaro;Favolli;Galletto;Gallinelle;Gamberi;Gambero grigio;Gattucci;Ghiozzetti;Ghiozzetto quadrimaculato;Ghiozzo go';Ghiozzo nero;Ghiozzo paganello;Grancevola;Granchio verde;Granchio verde - femmina con uova;Granchio verde - in muta;Grongo;Lampuga;Latterino capoccione;Lepre di mare;Lumaca di mare;Magnosa;Maruzzella;Mazzancolla;Mennole;Merlano;Merluzzetto;Merluzzo;Misto pesce;Misto pesce acqua dolce;Mitilo;Motelle;Murici;Musdee;Ombrine;Orata;Ostriche;Palamita;Pannocchia;Papalina;Passera;Pastinache;Pesce San Pietro;Pesce sciabola;Pesce serra;Pesce spada;Piede di pellicano;Polpi;Rane pescatrici;Razza bavosa;Razze;Riccio di mare;Ricciole;Rombi;Rossetto;Sacchetto;Salpa;Sardina;Savetta;Scampo;Scorfani;Seppie;Sgombri;Smeriglio;Sogliole;Sparidi;Squali;Squalo volpe;Suri;Tartaruga;Tartufo di mare;Tellina;Tinca;Tonni;Tracine;Triglia di fango;Triglia di scoglio;Trota;Venere gallina;Vongole;Zanchette;TOTALI
09/1997;-1;128835;35.25;2;195.75;-1;-1;-1;-1;5.8;-1;-1;-1;211;7570.15;16891.7;986.6072165;3.1;17857.5;-1;-1;15410.35;61.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;596.85;4715.2;37;-1;985;-1;12180.05;-1;-1;1.5;3276.35;8515.5;91.2;174;-1;11934.55;-1;-1;-1;-1;1882.8;0;1349.75;100.75;77;3795.5;-1;17980;-1;6901.25;-1;117.55;4723.7;0;23.5;10193;819;1701.05;-1;319.9;-1;-1;-1;-1;41661.25;8.25;-1;78.25;-1;-1;237.8;-1;-1;-1;73367;-1;28.25;-1;59328.10;4287.5;-1;13921.55;2769.05;1599.70;-1;8767.8;-1;-1;-1;-1;0;-1;22309.55;4261.2;-1;0;130;0;513259.9072
10/1997;-1;342055;88.5;14;655.9;-1;-1;-1;-1;6.25;-1;-1;-1;752.5;11444.958;47216.6;1088.626289;6.5;43896.75;-1;-1;32477.4;1459.25;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;404.55;5207.308;426.5;12.75;667.75;-1;18332.25;-1;-1;8;1260.95;19076.9;175.05;418.25;-1;12710.3;-1;-1;-1;-1;1176;1241.25;10602.75;783.25;2838.25;5543.85;-1;34201.5;-1;16760.75;-1;280.75;16575.95;20;31;14566.5;1991.5;1269.45;-1;128.6;-1;-1;-1;-1;81525.05;102.75;-1;800.25;-1;81.5;398.6;3.5;-1;-1;139699;-1;190.95;4.75;52463.10;6142.45;-1;20992.55;3755.3;2161.00;9.7;24021.25;-1;-1;-1;-1;632;-1;26991.1;3908.15;-1;0;870;35.25;1012614.342
11/1997;-1;418957;60;-1;571.8;-1;-1;-1;-1;15.95;-1;-1;-1;193.5;14891.9;71457.65;837.3814433;-1;47899.05;-1;-1;20166.5;3039;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;216.7;2285.5;524.3;45;1028.95;-1;12455.5;-1;-1;21.75;924.9;7189.75;893.95;248.5;-1;55424.7;-1;-1;-1;-1;383.4;1074;17968.95;5279.75;5245.7;5507.875;-1;-1;-1;11211.5;-1;462.5;18269;426;-1;21245.5;9681;3974.15;-1;36.25;-1;-1;144.625;-1;85788.85;90.05;-1;259.45;-1;144.75;702;3.25;-1;-1;198527;-1;411.4;-1;53732.25;8548.75;-1;26818.8;5752.54;1109.90;4.25;7775.75;-1;-1;-1;-1;0;-1;4974.95;1111.05;-1;0;-1;99.75;1156061.171
12/1997;-1;189980;11;-1;2385.55;-1;-1;-1;-1;12.65;-1;-1;-1;298;23920.6;35453.7;1108.940722;-1;54704.1;-1;-1;27159.35;2164.75;-1;-1;-1;193.5;-1;-1;-1;-1;-1;-1;209.6;2345.65;1058.4;73.5;1453.25;-1;3491.3;-1;-1;50.9;428.5;609;208.2;351.25;-1;50745.45;-1;-1;-1;-1;108.05;46.75;16982;1859;6479.55;5403.3;-1;-1;-1;9515.4;-1;184.3;15283.45;1363;-1;20911.5;12334;5599.45;-1;-1;-1;-1;4.75;-1;73455.5;107.75;-1;338.8;-1;30;796.85;2.25;-1;-1;172560.5;-1;287.35;5.5;56537.00;3037.5;-1;18544.65;2210.75;1482.90;-1;1640.75;-1;-1;-1;-1;0;2.5;1107.65;131.45;-1;629;-1;201.75;827550.0407
01/1998;-1;124509;-1;-1;326;-1;-1;-1;-1;9.9;-1;-1;-1;2.5;12514.8;21236;621.4149485;-1;45423.586;-1;-1;47226.5;2809.5;-1;-1;-1;10.5;40;-1;-1;-1;-1;-1;166.85;793.1;1019.9;52;978.75;-1;617.75;-1;-1;35.5;293;31.5;42;368.95;-1;28590.825;-1;1.75;-1;-1;134.65;-1;18521.15;3376.25;8629.1;6099.55;-1;-1;-1;10619.15;-1;220.2;5580.4;-1;-1;12536.55;8218.5;3718.95;-1;51.05;-1;-1;2.25;-1;63215.4;114.7;-1;422.45;-1;-1;552.9;-1;-1;-1;158756.5;-1;494.5;18.5;63925.30;125;-1;17563.85;519.75;2075.00;-1;587.75;-1;4.75;-1;-1;0;2;1683.6;2.5;-1;482;-1;383.75;676306.5259
02/1998;-1;114485;60;140;196.1;-1;-1;-1;-1;17.2;-1;-1;-1;0;12112.85;12649.5;669.7659794;-1;55515.35;-1;-1;18105;3708.75;-1;-1;-1;11.5;-1;-1;-1;-1;-1;-1;223.3;3870.05;1304.85;61.75;675.75;-1;1417.5;-1;-1;91;605.85;46.25;12.8;328;-1;14454.75;-1;-1;-1;-1;86.45;64.5;11730.95;3965.5;6206.45;6950.45;-1;-1;-1;4239.25;-1;77.4;3734.75;-1;-1;1972.15;6706;891.45;-1;22.2;-1;-1;4.5;-1;48020.6;147.05;-1;336.258;22;-1;500.55;-1;-1;-1;117642;-1;505.6;68.25;64101.95;1836.25;-1;11306.7;503.85;2253.00;-1;36.5;-1;-1;-1;-1;0;6;1261.25;6.5;-1;0;-1;310.75;536227.924
03/1998;-1;272076;281;-1;486.5;-1;-1;-1;-1;6.5;-1;-1;-1;-1;11382.4;5640.96;481.0051546;-1;47172.19392;-1;-1;4648.2;3356.25;-1;-1;-1;287.5;-1;-1;-1;-1;-1;-1;166.15;2476.7;288.25;57;383.75;-1;14257;-1;-1;32.2;4504.7;12.5;725.95;513.75;-1;11191.95;-1;-1;-1;-1;75.3;0;7079.35;2547.5;4169.65;5823.3;-1;-1;-1;7722.2;-1;83.05;3755.2;-1;-1;5100.05;7398;2142.5;-1;6.5;-1;-1;2;-1;24989.6;77.75;-1;323.3;0;-1;560.5;-1;-1;-1;146916;-1;747.55;125.75;63396.95;6964.25;-1;10651.45;125.25;2196.20;-1;4;-1;5;-1;-1;158;-1;1187.55;0;-1;0;-1;316.55;685024.6591
04/1998;-1;608023.5;2749.5;-1;997.6;-1;-1;-1;-1;10.5;-1;-1;-1;3.5;9216.25;5268.55;948.8453608;57;68028.75;-1;-1;6083.65;4106.75;3.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;274.7;1362.65;75.3;33.25;387.75;-1;14098.5;-1;-1;78.8;2359.5;30.25;1455.55;502.75;-1;9458.65;-1;-1;-1;-1;46.1;295;6764.45;1996.35;4176.05;9369.9;-1;-1;-1;9312.85;-1;130.45;2084.5;-1;-1;20352.98;850;1770.3;-1;5;-1;-1;-1;-1;14056.35;264.6;-1;394.8;18;-1;989.7;-1;46;-1;127302;-1;1319.75;19.4;96856.15;5161.5;-1;12762.88;2017.7;2227.30;125;2887.75;-1;-1;-1;-1;0;-1;1157.75;7.75;-1;0;-1;508.05;1060839.805
05/1998;-1;617624;840;-1;1033.6;-1;-1;-1;-1;3.65;-1;-1;-1;28.25;4483.6;2810.25;471;-1;61090.7;-1;-1;19406.75;6043.25;7;-1;-1;0.6;-1;-1;-1;-1;4;-1;113.45;2399.75;7.05;47.25;391.75;-1;13408.5;-1;-1;70;1855;108.75;91.95;268.45;-1;18339.3;-1;6;-1;-1;5.45;10;7099;2410.5;4771.55;6968.225;-1;462;-1;14392.75;-1;89.65;571.2;-1;-1;13265;65;1761.8;-1;0;-1;-1;-1;-1;8702;212.7;-1;1092.1;-1;4.5;1112.7;-1;-1;-1;193218.2;-1;2107.25;4.75;49824.55;14423.05;-1;13673.8;5271.95;4504.80;38;13401.5;-1;-1;-1;-1;0;9.5;450.8;8.25;-1;0;-1;410;1111247.375
06/1998;-1;463281;467.5;1;2.25;-1;-1;-1;-1;0;-1;-1;-1;498;5508.7;2746.1;4454.103093;-1;42322.05;-1;-1;24187.9;4133.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;175.85;1064.35;0;0;1061.5;-1;13063;-1;-1;0;3032;161.25;189.9;225.75;-1;9121.55;-1;-1;-1;-1;0;36.5;12782.25;1115.75;4022.1;4171.65;-1;0;-1;12561.25;-1;184.95;1660.1;-1;32.5;5830;247;1229.55;-1;11;-1;-1;1;-1;7781;197.45;-1;3112.25;-1;145.75;1373.85;-1;-1;-1;311171;-1;973.4;12.25;10939.55;23065.1;-1;9112.15;4185.65;2464.10;13;17198.75;-1;-1;-1;-1;5.5;13;81.3;-1;-1;0;-1;176.75;1011553.653
