Data;Abramide;Acciuga;Aguglia;Alaccia;Anguilla;Aquila di mare;Aragosta;Arca di Noe';Ascidia;Astice;Barbo;Barracuda;Bibo;Boga;Branzino;Calamari;Canestrelli;Cannolicchi;Capasanta;Carpa;Cavedano;Cefali;Cepola;Cernia bruna;Cetorino;Cheppia;Corbola;Cuori;Delfini;Dentice;Fasolaro;Favolli;Galletto;Gallinelle;Gamberi;Gambero grigio;Gattucci;Ghiozzetti;Ghiozzetto quadrimaculato;Ghiozzo go';Ghiozzo nero;Ghiozzo paganello;Grancevola;Granchio verde;Granchio verde - femmina con uova;Granchio verde - in muta;Grongo;Lampuga;Latterino capoccione;Lepre di mare;Lumaca di mare;Magnosa;Maruzzella;Mazzancolla;Mennole;Merlano;Merluzzetto;Merluzzo;Misto pesce;Misto pesce acqua dolce;Mitilo;Motelle;Murici;Musdee;Ombrine;Orata;Ostriche;Palamita;Pannocchia;Papalina;Passera;Pastinache;Pesce San Pietro;Pesce sciabola;Pesce serra;Pesce spada;Piede di pellicano;Polpi;Rane pescatrici;Razza bavosa;Razze;Riccio di mare;Ricciole;Rombi;Rossetto;Sacchetto;Salpa;Sardina;Savetta;Scampo;Scorfani;Seppie;Sgombri;Smeriglio;Sogliole;Sparidi;Squali;Squalo volpe;Suri;Tartaruga;Tartufo di mare;Tellina;Tinca;Tonni;Tracine;Triglia di fango;Triglia di scoglio;Trota;Venere gallina;Vongole;Zanchette;TOTALI
01/1945;-1;0;0;-1;759.85;-1;-1;-1;-1;-1;-1;-1;-1;-1;489.6;0;36934.02062;1149.7;-1;-1;-1;5879.45;0;0;-1;-1;-1;831.4;-1;0;0;-1;-1;0;87.65;38.55;0;2.1;-1;-1;-1;-1;0;0;-1;2.7;-1;-1;1518.7;-1;-1;-1;-1;0;0;0;-1;0;0;1227.3;-1;-1;40.75;-1;1.5;510.05;0;-1;0;-1;2.6;-1;-1;-1;-1;-1;-1;15.45;0;-1;0;-1;-1;0;-1;-1;-1;0;-1;-1;-1;0;0;-1;2.15;0;0;0;-1;0;0;-1;3.45;-1;-1;0;-1;-1;4690.3;0;-1;54127.27062
02/1945;-1;0;0;-1;28.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.5;0;44777.44845;367.35;-1;-1;-1;385.15;0;0;-1;-1;-1;1398.75;-1;0;0;-1;-1;0;84.05;67.55;0;-1;-1;3;-1;-1;0;0;-1;11;-1;-1;2685.9;-1;-1;-1;-1;0;0;88.25;-1;0;16.05;1487.2;-1;-1;-1;-1;-1;-1;0;-1;0;-1;220.4;-1;-1;-1;-1;-1;-1;0;0;-1;93.7;-1;-1;14.2;-1;-1;-1;0;-1;-1;-1;0;0;-1;0;0;0;0;-1;0;0;-1;-1;-1;-1;0;-1;7.65;3859.25;17.75;-1;55557.44845
03/1945;-1;0;0;-1;104;-1;-1;-1;-1;20.45;-1;-1;-1;-1;0.4;0;0;370.35;-1;-1;-1;236.55;0;0;-1;-1;-1;0;-1;0;0;-1;-1;0;699.85;295.65;0;21;-1;487.2;-1;-1;0;413.3;-1;1055.2;-1;-1;6461.65;-1;-1;-1;-1;0;0;431.55;-1;0;27.15;4171.5;-1;-1;-1;-1;-1;-1;0;-1;0;-1;1146;-1;-1;-1;-1;-1;196.5;0;0;-1;149.55;-1;-1;7.7;-1;-1;-1;0;-1;-1;-1;78;0;-1;24;0;0;0;-1;0;0;-1;-1;-1;-1;0;-1;0.4;465;0;-1;16802.95
04/1945;-1;3.75;53.9;-1;1394.55;-1;-1;-1;-1;-1;-1;-1;-1;-1;3.8;1.5;1053.865979;17.25;-1;-1;-1;12;0;0;-1;-1;-1;0;-1;0;0;-1;-1;0;786.55;136.4;0;-1;-1;1917.35;-1;-1;0;2173.85;-1;14083.35;-1;-1;5191.3;-1;-1;-1;-1;0;0;0;-1;0;313.15;1178.8;-1;-1;-1;-1;2.2;-1;0;-1;0;-1;2411.95;-1;-1;-1;-1;-1;-1;0;0;-1;0;-1;-1;18.15;-1;-1;-1;0;-1;-1;-1;7234.1;0;-1;10;0;0;0;-1;0;0;-1;136.9;-1;-1;0;-1;-1;-1;0;-1;38071.66598
05/1945;-1;9607;137.55;-1;23410;-1;-1;-1;-1;88.15;-1;-1;-1;-1;259.4;504.55;546.3917526;0;-1;-1;-1;4867.35;0;0;-1;-1;-1;0;-1;0;0;-1;-1;1145;1652;315;176;-1;-1;8469;-1;-1;929.6;667;-1;7156.5;-1;-1;11970;-1;-1;-1;-1;0;0;5278;-1;140.2;5615;10096;-1;-1;85.4;-1;1085.7;12.6;0;-1;23;1928;23038.96;-1;47.2;-1;-1;-1;-1;0;0;-1;10397;-1;-1;810.25;-1;-1;-1;4788;-1;-1;-1;47027.55;36032.9;-1;2105.2;0;315.2;0;-1;0;0;-1;759;-1;-1;5777;-1;-1;-1;0;-1;227204.6518
06/1945;-1;11892;1052.35;-1;29113.95;-1;-1;-1;-1;284;-1;-1;-1;-1;1987.3;880;2897.42268;0;-1;-1;-1;8097;0;0;-1;-1;-1;0;-1;0;0;-1;-1;1999;4343.9;470.2;310.7;-1;-1;5852.95;-1;-1;1570;0;-1;5288.35;-1;-1;15088;-1;-1;-1;-1;0;0;3034;-1;533.6;9393;16726;-1;-1;2985;-1;1784.55;11.9;0;-1;1357.8;3251;26832.8;-1;-1;-1;-1;-1;-1;0;0;1805.55;16055.7;-1;-1;1133.8;-1;-1;-1;10454.25;-1;-1;-1;29525;66641.9;-1;14935;266.65;1474;0;-1;0;0;-1;1370;-1;-1;6367;-1;-1;-1;0;-1;307007.6227
07/1945;-1;28035;848;-1;21558;-1;-1;-1;-1;134;-1;-1;-1;-1;1176.25;848;1067.010309;0;-1;-1;-1;3647;0;0;-1;-1;-1;0;-1;0;0;-1;-1;417;981;51;2004;362;-1;8101;-1;-1;585;0;28;384;-1;-1;12143;-1;-1;-1;-1;0;0;1691;-1;152;14152;9811;-1;-1;7368;-1;3227;13;0;-1;4315;5165;18796;-1;11;-1;-1;-1;-1;0;0;3495;7458;-1;-1;1450;-1;-1;-1;1712;-1;-1;-1;25433;74320;-1;13697;136;2061;0;-1;0;0;-1;236;-1;-1;4972;2;-1;-1;0;-1;281988.2603
08/1945;-1;33762;709;-1;12650;-1;-1;-1;-1;-1;-1;-1;-1;-1;549;1425;0;0;-1;-1;-1;7427;0;0;-1;-1;-1;0;-1;0;0;-1;-1;0;692;2124;224;2319;-1;18945;-1;-1;35;0;88;92;-1;-1;10824;-1;-1;-1;-1;0;0;109;-1;0;22784;7495;-1;-1;3184;-1;2371;-1;0;-1;8557;1427;10331;408;-1;-1;-1;-1;-1;826;0;3693;9971;-1;-1;0;-1;-1;-1;6360;-1;-1;-1;11298;31563;-1;11698;17;1248;0;-1;0;0;-1;-1;-1;-1;15493;-1;-1;-1;0;-1;240640
09/1945;-1;7525;2449;-1;4807;-1;-1;-1;-1;101;-1;-1;-1;15;739.8;2850;10.30927835;0;-1;-1;-1;10347;0;0;-1;-1;-1;0;-1;0;0;-1;-1;934;6796;2118;323;1310;-1;20003;-1;-1;0;0;5288;255;-1;-1;15142;-1;-1;-1;-1;0;0;1015;-1;542;12653;22045;-1;-1;1715;-1;3468;47;0;-1;5145;-1;5072;-1;7;-1;-1;-1;-1;9138;0;-1;32161;-1;-1;302;-1;-1;-1;39286;-1;-1;-1;24100;92313;-1;7856;1279;918;0;2038;0;0;-1;46;-1;-1;9562;-1;-1;-1;0;-1;351666.1093
10/1945;-1;28888;1829;-1;7817;-1;-1;-1;-1;177;-1;-1;-1;76;1665;2014;814.4329897;0;-1;-1;-1;10859;0;0;-1;-1;-1;0;-1;0;0;-1;-1;2719;2882;3280;619;3088;-1;32679;-1;-1;14;0;24124;2142;-1;-1;19561;-1;-1;-1;-1;0;0;3211;-1;572;13864;12970;-1;-1;955;-1;3859;1884;0;-1;953;26901;12478;-1;20;-1;-1;-1;-1;9729;34;-1;13473;-1;-1;887;-1;-1;-1;37109;-1;-1;-1;37888;100352;-1;7556;1174;1884;0;-1;0;0;-1;203;-1;-1;15013;5;19;-1;0;-1;448187.433
11/1945;-1;1646;2608;-1;8034;-1;-1;-1;-1;79;-1;-1;-1;11;1108;1060;8829.896907;8;-1;-1;-1;16562;0;0;-1;-1;-1;68;-1;0;0;-1;-1;2229;1801;4898;715;2260;-1;10372;-1;-1;33;0;9710;6396;-1;-1;36009;-1;-1;-1;-1;0;0;6555;-1;3230;10117;10713;-1;-1;556;-1;1709;274;5;-1;3471;37428;8772;-1;20;-1;-1;-1;-1;4610;17;-1;11335;-1;-1;1176;-1;-1;-1;4538;-1;-1;-1;11930;8923;-1;8847;322;964;0;-1;0;0;-1;48;-1;-1;800;14;11;-1;0;-1;250768.8969
12/1945;-1;44;0;-1;2470;-1;-1;-1;-1;174;-1;-1;-1;9258;635;1231;10141.75258;332;7;-1;-1;14475;0;0;-1;-1;-1;35;-1;0;0;-1;-1;648;4589;6664;312;2459;-1;2318;-1;-1;353;56;91;430;-1;-1;28359;-1;-1;-1;-1;0;0;6208;-1;2996;11890;8142;-1;-1;559;-1;450;489;19;-1;2363;3323;1428;-1;193;-1;-1;-1;-1;4138;251;-1;6144;-1;-1;949;-1;-1;-1;2893;-1;26;-1;4833;2189;-1;7512;616;192;0;-1;0;0;-1;36;394;-1;6211;10;4;-1;0;-1;159489.7526
01/1946;-1;638;0;-1;1050;-1;-1;-1;-1;74;-1;-1;-1;11679;1003;257;12925.25773;498;56;-1;-1;13602;0;0;-1;-1;-1;76;-1;0;0;-1;-1;318;5368;4066;491;1600;-1;1133;-1;-1;223;55;-1;-1;-1;-1;24828;-1;-1;-1;-1;0;0;2473;-1;498;9680;8323;-1;-1;192;-1;171;30;0;-1;357;334;1687;-1;1459;-1;-1;-1;-1;5825;236;55;6974;-1;-1;671;-1;-1;-1;0;-1;158;-1;1879;1842;-1;2402;747;18;0;-1;0;0;-1;52;-1;-1;1489;4;5;269;0;-1;127719.2577
02/1946;-1;12673;13;-1;1297;-1;-1;-1;-1;173;-1;-1;-1;6168;129;461;38719.07217;549;622;-1;-1;1515;0;0;-1;-1;-1;0;-1;0;0;-1;-1;151;3495;2853;410;4415;-1;2065;-1;-1;227;0;-1;68;-1;-1;16495;-1;-1;-1;-1;0;0;1996;-1;381;8981;9954;-1;-1;15;-1;62;55;13;-1;19;36748;4092;-1;89;-1;-1;-1;10;4009;98;-1;23761;-1;-1;1026;-1;-1;-1;0;-1;38;-1;6946;625;-1;386;1395;236;0;-1;0;0;-1;54;-1;-1;1582;20;2;-1;0;-1;195040.0722
03/1946;-1;12275;124;-1;3405;-1;-1;-1;-1;210;-1;-1;-1;2869;27;802;9219.072165;26;-1;-1;-1;1960;0;0;-1;-1;-1;0;-1;0;0;-1;-1;749;3498;5211;1344;3927;-1;10422;-1;-1;736;4;18;2704;-1;-1;18865;-1;-1;-1;-1;0;0;4725;-1;597;10985;8796;-1;-1;204;-1;174;-1;12;-1;464;53122;6134;-1;99;-1;-1;-1;9;786;215;-1;21541;-1;-1;2088;-1;-1;-1;42;-1;-1;-1;27011;1221;-1;2233;380;159;0;-1;0;0;-1;96;-1;-1;238;11;2;-1;0;-1;219686.0722
04/1946;-1;6258;269;-1;6151;-1;-1;-1;-1;258;-1;-1;-1;1947;126;2658;0;0;2;-1;-1;4460;0;0;-1;-1;-1;0;100;0;0;-1;-1;707;4944;1243;1193;3692;-1;28519;-1;-1;1464;79;-1;27497;-1;-1;22180;-1;-1;-1;-1;0;0;8611;-1;1689;22467;6501;-1;-1;791;-1;147;-1;0;-1;2670;6263;7032;-1;122;-1;-1;-1;1;3317;278;-1;20910;-1;-1;2122;-1;-1;-1;2763;-1;116;-1;111142;5458;-1;4861;1882;662;0;-1;0;0;-1;153;506;-1;3865;1;4;-1;0;-1;328031
05/1946;-1;49472;40;-1;7530;16;-1;-1;-1;331;-1;-1;-1;496;159;3485;0;0;-1;-1;-1;5875;0;0;-1;160;-1;0;-1;0;0;-1;-1;0;6163;276;353;750;-1;24077;-1;-1;3006;20;-1;5487;-1;-1;12057;-1;-1;-1;-1;0;0;5751;-1;654;21833;4646;-1;-1;113;-1;719;19;0;-1;1863;39270;8550;-1;319;-1;-1;-1;-1;293;146;-1;20465;-1;-1;2233;-1;-1;-1;44536;-1;269;-1;73474;101890;-1;4048;501;3939;0;-1;0;0;-1;159;-1;-1;15019;-1;-1;-1;0;-1;470409
06/1946;-1;23887;0;-1;7822;-1;-1;-1;-1;155;-1;-1;-1;-1;123;2466;951.0309278;0;-1;-1;-1;6435;0;0;-1;-1;-1;0;-1;0;0;-1;-1;104;5102;649;0;-1;-1;27323;-1;-1;5416;0;-1;5472;-1;-1;8819;-1;-1;-1;-1;0;0;9041;-1;942;20927;1148;-1;-1;-1;-1;1640;-1;0;74;815;19303;3297;-1;76;-1;-1;-1;-1;440;46;-1;12475;-1;-1;1707;-1;-1;-1;59602;-1;39;-1;32906;212845;-1;7679;43;7345;0;-1;0;0;-1;-1;-1;-1;10280;-1;-1;-1;0;-1;497335.0309
07/1946;-1;29551;0;-1;14162;-1;-1;-1;-1;53;-1;-1;-1;-1;151;1399;951.0309278;0;-1;-1;-1;12878;0;0;-1;-1;-1;0;-1;0;0;-1;-1;819;2801;594;271;4099;-1;42249;-1;-1;4424;0;-1;1289;-1;-1;14877;-1;-1;-1;-1;0;0;4617;-1;252;22436;2589;-1;-1;-1;-1;1820;29;0;319;1503;577;4406;-1;9;-1;-1;-1;-1;992;63;-1;12808;-1;-1;75;-1;-1;-1;115934;-1;107;-1;13431;65430;-1;14827;101;3432;0;-1;0;0;-1;119;533;-1;5887;-1;-1;-1;0;-1;402809.0309
08/1946;-1;3468;0;-1;13006;-1;-1;-1;-1;57;-1;-1;-1;2837;96;1684;804.1237113;0;-1;-1;-1;15591;0;0;-1;-1;-1;0;-1;0;0;-1;-1;14;902;1052;50;1761;-1;55137;-1;-1;3699;0;176;1968;-1;-1;22231;-1;-1;-1;-1;0;0;2522;-1;12;21595;5467;-1;-1;-1;-1;2004;740;0;1;4077;-1;4139;-1;5;-1;-1;-1;-1;6579;0;-1;12226;-1;-1;16;-1;-1;-1;140669;-1;15;-1;12621;21718;273;16774;247;2804;0;-1;0;0;-1;-1;-1;-1;17131;-1;-1;-1;0;-1;396113.1237
09/1946;-1;3113;0;-1;6621;-1;-1;-1;-1;112;-1;-1;-1;592;130;3525;1219.072165;0;-1;-1;-1;23103;0;0;-1;-1;-1;0;70;0;0;-1;-1;1869;1450;2235;213;4319;-1;69310;-1;-1;226;0;1806;576;-1;-1;20883;-1;-1;-1;-1;0;0;4666;-1;94;31908;3040;-1;-1;540;-1;2288;5896;0;-1;6538;1924;3488;-1;52;-1;-1;-1;-1;20443;0;-1;10329;-1;-1;0;-1;-1;-1;265398;-1;-1;-1;21928;24541;-1;18930;2834;1447;0;18697;0;0;-1;79;398;-1;22573;105;-1;-1;0;-1;609457.0722
10/1946;-1;2667;0;-1;10120;-1;-1;-1;-1;93;-1;-1;-1;4;709;2339;966.4948454;0;-1;-1;-1;93955;0;0;-1;-1;-1;0;280;0;0;-1;-1;2676;3959;4846;709;3537;-1;54673;-1;-1;0;0;36802;280;-1;-1;25581;-1;-1;-1;-1;0;0;6582;-1;8;17273;4640;-1;-1;951;-1;1129;13174;0;-1;3395;50820;7592;-1;-1;-1;-1;-1;-1;26953;0;-1;9380;-1;-1;114;-1;-1;-1;144845;-1;38;-1;19375;17597;74;11329;2185;1383;0;8669;0;0;-1;-1;428;-1;11875;145;-1;-1;0;-1;604099.4949
11/1946;-1;78;0;-1;4076;-1;-1;-1;-1;121;-1;-1;-1;2336;834;1366;4762.886598;0;-1;-1;-1;53413;0;0;-1;-1;-1;0;254;0;0;-1;-1;2462;2231;6580;677;3076;-1;20346;-1;-1;296;0;8909;3134;-1;-1;35894;-1;-1;-1;-1;0;0;15677;-1;599;17628;3924;-1;-1;275;-1;292;22329;0;-1;3936;19611;6871;-1;15;-1;-1;-1;-1;17492;10;-1;7551;-1;-1;1067;-1;-1;-1;8420;-1;41;-1;9854;2035;390;7372;970;500;0;107;0;0;-1;-1;78;-1;3178;20;-1;-1;0;-1;301037.8866
12/1946;-1;302;0;-1;1381;-1;-1;-1;-1;76;-1;-1;-1;6136;2199;442;13824.74227;0;-1;-1;-1;47905;0;0;-1;-1;-1;0;100;0;0;-1;-1;599;4202;4483;494;3040;-1;3751;-1;-1;228;0;100;1239;-1;-1;33413;-1;-1;-1;-1;0;0;3761;-1;443;16051;5005;-1;-1;137;-1;71;22470;0;-1;1456;2360;4876;-1;62;-1;-1;-1;-1;6882;64;-1;2694;-1;-1;366;-1;-1;-1;78;-1;-1;-1;2577;617;-1;3395;4465;334;0;-1;0;0;-1;4;-1;-1;3796;107;-1;-1;0;-1;205932.7423
01/1947;-1;217;0;-1;558;-1;-1;-1;-1;29;-1;-1;-1;11130;1562;269;29600.51546;82;17;-1;-1;11956;0;0;-1;-1;-1;0;90;0;0;-1;-1;4;2555;1233;534;1511;-1;1893;-1;-1;58;0;-1;-1;-1;-1;10014;-1;-1;-1;-1;0;0;2895;-1;572;10967;1705;-1;-1;-1;-1;-1;1806;0;-1;3;1674;862;-1;46;-1;-1;-1;-1;7668;0;-1;3082;-1;-1;2;-1;-1;-1;81;-1;-1;-1;1478;2361;-1;1135;3011;551;0;-1;0;0;-1;-1;-1;-1;3827;51;-1;-1;0;-1;117032.5155
02/1947;-1;614;0;-1;2342;-1;-1;-1;-1;10;-1;-1;-1;5970;110;27;10891.75258;200;572;-1;-1;9057;0;0;-1;-1;-1;18;-1;0;0;-1;-1;0;3055;2470;3;1000;-1;195;-1;-1;15;0;-1;-1;-1;-1;13475;-1;-1;-1;-1;0;0;185;-1;51;2795;4400;-1;-1;-1;-1;-1;48;0;-1;4;341;2088;-1;-1;-1;-1;-1;-1;1014;0;-1;202;-1;-1;0;-1;-1;-1;1117;-1;-1;-1;75;162;-1;150;846;94;0;-1;0;0;-1;-1;-1;-1;350;7;-1;-1;0;-1;63894.75258
03/1947;-1;11749;0;-1;7038;-1;-1;-1;-1;44;-1;-1;-1;7049;175;616;23242.26804;0;907;-1;-1;9014;0;0;-1;-1;-1;0;245;0;0;-1;-1;46;6391;5131;6;3969;-1;7116;-1;-1;413;0;-1;-1;-1;-1;41597;-1;-1;-1;-1;0;0;4725;-1;604;19161;6459;-1;-1;-1;-1;25;-1;0;-1;30;10841;6134;-1;8;-1;-1;-1;-1;8448;0;-1;22687;-1;-1;214;-1;-1;-1;564;-1;-1;-1;3652;2427;-1;1362;2052;396;0;-1;0;0;-1;-1;-1;-1;2982;14;2;-1;0;-1;217479.268
04/1947;-1;28341;0;-1;11251;-1;-1;-1;-1;90;-1;-1;-1;5137;54;2612;3275.773196;0;76;-1;-1;6274;0;0;-1;-1;-1;0;33;0;0;-1;-1;150;5598;5794;660;6084;-1;48645;-1;-1;624;8;-1;20156;-1;-1;25540;-1;-1;-1;-1;0;0;9359;-1;853;53300;5670;-1;-1;157;-1;26;-1;0;-1;38;13415;14012;-1;130;-1;-1;-1;17;5603;313;-1;10301;-1;-1;1090;-1;-1;-1;2985;-1;-1;-1;70215;22362;-1;4773;2394;679;0;-1;0;0;-1;163;-1;-1;6775;-1;-1;-1;0;-1;394978.7732
05/1947;-1;32545;0;-1;11611;-1;-1;-1;-1;152;-1;-1;-1;3358;163;3154;1201.030928;0;-1;-1;-1;9779;0;0;-1;-1;-1;0;-1;0;0;-1;-1;81;9781;4245;420;605;-1;31715;-1;-1;1366;242;-1;19436;-1;-1;14134;-1;-1;-1;-1;0;0;3570;-1;796;41379;4281;-1;-1;73;-1;52;71;0;-1;103;39290;20960;-1;47;-1;-1;-1;-1;401;32;-1;11996;-1;-1;1592;-1;-1;-1;71097;-1;-1;-1;63013;12105;-1;4648;74;3197;0;6345;0;0;-1;325;918;-1;2698;-1;-1;-1;0;-1;432997.0309
06/1947;-1;25395;0;-1;9615;-1;-1;-1;-1;99;-1;-1;-1;1910;141;2256;891.7525773;0;-1;-1;-1;9781;0;0;-1;-1;-1;0;110;0;0;-1;-1;166;7419;2415;245;23;-1;27691;-1;-1;1847;92;-1;9110;-1;-1;8862;-1;-1;-1;-1;0;0;3531;-1;1566;17969;1431;-1;-1;1128;-1;631;73;0;105;194;44351;18227;-1;193;-1;-1;-1;-1;466;58;-1;17602;-1;-1;1978;-1;-1;-1;112152;-1;36;-1;20114;31570;-1;6552;16;4211;0;46807;0;0;-1;-1;140;-1;1261;-1;6;-1;0;-1;440385.7526
07/1947;-1;18228;0;-1;10433;-1;-1;-1;-1;75;-1;-1;-1;1125;272;1242;136.5979381;0;-1;-1;-1;7409;0;0;-1;-1;-1;0;197;0;0;-1;-1;198;6929;1341;759;898;-1;36011;-1;-1;631;0;-1;2563;-1;-1;16779;-1;-1;-1;-1;0;0;2152;-1;1172;16263;9994;-1;-1;3879;-1;692;75;0;398;609;88076;13456;-1;758;-1;-1;-1;-1;540;220;-1;10606;-1;-1;485;-1;-1;-1;134525;-1;85;-1;5808;45300;159;9750;722;1175;0;31367;0;0;-1;540;17;-1;17460;-1;-1;-1;0;-1;501459.5979
08/1947;-1;5612;0;-1;6117;-1;-1;-1;-1;29;-1;-1;-1;337;183;1382;0;0;-1;-1;-1;10259;0;0;-1;-1;-1;0;-1;0;0;-1;-1;311;630;2245;164;1789;-1;44109;-1;-1;154;0;82;61;-1;-1;30449;-1;-1;-1;-1;0;0;201;-1;29;18868;5290;-1;-1;1696;-1;713;226;0;680;673;7666;14530;-1;24;-1;-1;-1;-1;392;3;-1;5125;-1;-1;120;-1;-1;-1;125085;-1;-1;-1;5084;6009;-1;7079;764;1106;0;8768;0;0;-1;122;188;-1;40302;47;-1;-1;0;-1;354652
09/1947;-1;25098;0;-1;6938;-1;-1;-1;-1;58;-1;-1;-1;295;215;2982;0;0;-1;-1;-1;11257;0;0;-1;-1;-1;0;-1;0;0;-1;-1;1039;1640;3649;30;2440;-1;53530;-1;-1;23;0;1043;152;-1;-1;33518;-1;-1;-1;-1;0;0;18;-1;20;23179;5394;-1;-1;1149;-1;726;182;0;1225;955;2881;15204;-1;6;-1;-1;-1;-1;7420;0;-1;1797;-1;-1;146;-1;-1;-1;164382;-1;-1;-1;8368;27749;-1;8032;3119;1447;0;38996;0;0;-1;289;6;-1;42883;448;-1;-1;0;-1;499877
10/1947;-1;7293;0;-1;8281;-1;-1;-1;-1;115;-1;-1;-1;1045;612;5504;38.65979381;0;-1;-1;-1;45143;0;0;-1;-1;-1;0;-1;0;0;-1;-1;1113;3537;8560;666;3747;-1;50879;-1;-1;8;0;22714;2413;-1;-1;34988;-1;-1;-1;-1;0;0;1147;-1;261;25807;5729;-1;-1;521;-1;769;508;0;150;1690;12593;16218;-1;153;-1;-1;-1;-1;25291;0;-1;11420;-1;-1;1142;-1;-1;-1;94197;-1;-1;-1;10419;12569;-1;10154;2263;1215;0;56576;0;0;-1;431;-1;-1;23516;475;4;-1;0;-1;511823.6598
11/1947;-1;7840;0;-1;7886;-1;-1;-1;-1;496;-1;-1;-1;3613;1222;3968;1069.587629;0;-1;-1;-1;58113;0;0;-1;-1;-1;0;50;0;0;-1;-1;1838;2858;9564;1379;2998;-1;29200;-1;-1;524;0;4727;5743;-1;-1;34496;-1;-1;-1;-1;0;0;5298;-1;1288;28332;3978;-1;-1;2818;-1;333;941;0;-1;3481;69770;11456;-1;216;-1;-1;-1;-1;35536;1075;-1;8982;-1;-1;468;-1;-1;-1;491;-1;10;-1;7699;10036;-1;10479;3554;1592;0;711;0;0;-1;144;-1;-1;9902;628;-1;-1;0;-1;396751.5876
12/1947;-1;19;0;-1;6117;-1;-1;-1;-1;131;-1;-1;-1;5035;1095;1842;3324.742268;0;-1;-1;-1;89860;0;0;-1;-1;-1;0;15;0;0;-1;-1;321;3574;10362;1097;2440;-1;4687;-1;-1;189;0;350;372;-1;-1;28730;-1;-1;-1;-1;0;0;1502;-1;1156;16423;4241;-1;-1;265;-1;30;990;0;-1;994;339;1818;-1;257;-1;-1;-1;-1;18577;438;-1;7888;-1;-1;140;-1;-1;-1;0;-1;-1;-1;1296;306;-1;8777;4574;336;0;428;0;0;-1;4;-1;-1;8095;471;-1;-1;0;-1;238853.7423
01/1948;-1;1013;0;-1;2307;-1;-1;-1;-1;105;-1;-1;-1;6796;275;2390;11162.37113;0;-1;-1;-1;11910;0;0;-1;-1;-1;0;-1;0;0;-1;-1;24;2845;7338;895;5780;-1;1210;-1;-1;386;0;-1;-1;-1;-1;22454;-1;-1;-1;-1;0;0;1987;-1;1914;16287;5235;-1;-1;-1;-1;25;-1;0;-1;1146;120;2745;-1;326;-1;-1;-1;-1;13906;734;-1;8701;-1;-1;424;-1;-1;-1;0;-1;-1;-1;4209;216;-1;1946;3319;576;0;-1;0;0;-1;-1;-1;-1;11674;122;1;-1;0;-1;152445.3711
02/1948;-1;16896;0;-1;2643;-1;-1;-1;-1;242;-1;-1;-1;2408;634;2701;7020.618557;0;-1;-1;-1;4003;0;0;-1;-1;-1;0;-1;0;0;-1;-1;73;8364;7877;1759;6884;-1;6373;-1;-1;1175;0;-1;-1;-1;-1;35429;-1;-1;-1;-1;0;0;2483;-1;2424;20697;3322;-1;-1;641;-1;56;-1;0;-1;5094;17309;5403;-1;246;-1;-1;-1;-1;13458;867;-1;16605;-1;-1;320;-1;-1;-1;110;-1;-1;-1;2927;544;-1;3296;1180;396;0;89;0;0;-1;30;-1;-1;8772;19;-1;-1;0;-1;210713.6186
03/1948;-1;44012;0;-1;2780;-1;-1;-1;-1;265;-1;-1;-1;3176;84;1742;8188.14433;0;5;-1;-1;3914;0;0;-1;-1;-1;0;627;0;0;-1;-1;483;6427;3952;1408;4333;-1;37719;-1;-1;1487;0;-1;11706;-1;-1;37808;-1;-1;-1;-1;0;0;2120;-1;1790;27538;2920;-1;-1;533;-1;15;-1;0;-1;1892;46797;9325;-1;1549;-1;-1;-1;9;15149;602;-1;30175;-1;-1;818;-1;-1;-1;749;-1;-1;-1;13957;1010;-1;2316;3003;204;0;1537;0;0;-1;123;-1;-1;11637;34;2;-1;0;-1;345869.1443
04/1948;-1;8266;0;-1;6600;-1;-1;-1;-1;108;-1;-1;-1;2335;38;2447;11345.36083;0;-1;-1;-1;2631;0;0;-1;-1;-1;0;-1;0;0;-1;-1;476;6400;2954;343;2113;-1;35921;-1;-1;1926;0;-1;13384;-1;-1;27766;-1;-1;-1;-1;0;0;5845;-1;532;22418;4421;-1;-1;3272;-1;58;-1;0;-1;5257;2294;6745;-1;834;-1;-1;-1;-1;4654;118;-1;9362;-1;-1;1068;-1;-1;-1;436;-1;-1;-1;58694;2580;-1;2912;2117;296;0;528;0;0;-1;331;-1;-1;5531;-1;-1;-1;0;-1;265300.3608
05/1948;-1;14480;0;-1;6852;-1;-1;-1;-1;102;-1;-1;-1;8113;61;3804;925.257732;0;-1;-1;-1;4591;0;0;-1;-1;-1;0;104;0;0;-1;-1;111;5455;2281;335;14;-1;21682;-1;-1;3839;0;-1;4583;-1;-1;10535;-1;-1;-1;-1;0;0;6291;-1;287;22358;4991;-1;-1;158;-1;108;-1;0;-1;5131;11322;5814;-1;165;-1;-1;-1;-1;350;58;-1;6542;-1;-1;913;-1;-1;-1;18571;-1;-1;-1;68108;28825;-1;3607;1198;1745;0;8940;24;0;-1;544;-1;-1;1422;-1;0.5;-1;0;-1;285285.7577
